unique_id,categorie,prix_catalogue_xof,cout_unitaire_xof,objectif,marge_minimale,politique_historique_remise_moyenne_si_promo,politique_historique_part_jours_promo,politique_remise_frequente_pct,politique_meilleure_descriptive_pct,suggested_discount_exploratory,prix_simule_xof,quantite_prevue,quantite_prevue_bande_incertitude_basse,quantite_prevue_bande_incertitude_haute,ca_prevu_xof,marge_prevue_xof,ca_actuel_moyen_xof,marge_actuelle_moyenne_xof,delta_marge_vs_actuel_xof,support_historique,niveau_confiance,simulation_status,raison_eligibilite,avertissements,methode,automatic_application_allowed,causal_effect_estimated,human_validation_required,off_policy_evaluation_validated
PRD000000,Electronique & High-Tech,211520.0,152550.0,marge,0.0,10.0,0.045454545454545456,0.0,0.0,0.0,211520.0,0.732950880179304,0.0,1.5181763973960676,155033.77017552638,43222.11340417356,172843.35714285713,47534.42857142857,-4312.315167255016,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000000,Electronique & High-Tech,211520.0,152550.0,marge,0.05,10.0,0.045454545454545456,0.0,0.0,0.0,211520.0,0.732950880179304,0.0,1.5181763973960676,155033.77017552638,43222.11340417356,172843.35714285713,47534.42857142857,-4312.315167255016,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000000,Electronique & High-Tech,211520.0,152550.0,marge,0.1,10.0,0.045454545454545456,0.0,0.0,0.0,211520.0,0.732950880179304,0.0,1.5181763973960676,155033.77017552638,43222.11340417356,172843.35714285713,47534.42857142857,-4312.315167255016,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000000,Electronique & High-Tech,211520.0,152550.0,marge,0.15,10.0,0.045454545454545456,0.0,0.0,0.0,211520.0,0.732950880179304,0.0,1.5181763973960676,155033.77017552638,43222.11340417356,172843.35714285713,47534.42857142857,-4312.315167255016,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000000,Electronique & High-Tech,211520.0,152550.0,chiffre_affaires,0.05,10.0,0.045454545454545456,0.0,0.0,0.0,211520.0,0.732950880179304,0.0,1.5181763973960676,155033.77017552638,43222.11340417356,172843.35714285713,47534.42857142857,-4312.315167255016,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000000,Electronique & High-Tech,211520.0,152550.0,ecoulement_stock,0.05,10.0,0.045454545454545456,0.0,0.0,15.0,179792.0,0.8467441711897848,0.0,1.7538788070198499,152237.8280265538,23067.00471155212,172843.35714285713,47534.42857142857,-24467.423859876453,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000000,Electronique & High-Tech,211520.0,152550.0,compromis_marge_volume,0.05,10.0,0.045454545454545456,0.0,0.0,15.0,179792.0,0.8467441711897848,0.0,1.7538788070198499,152237.8280265538,23067.00471155212,172843.35714285713,47534.42857142857,-24467.423859876453,False,faible,ok,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",remise simulée non directement observée pour ce produit (repli catégorie); historique individuel insuffisant — simulation reposant sur le pooling catégorie; marge simulée inférieure à la marge moyenne actuellement observée; WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000001,Bebe & Enfant,46030.0,29095.0,marge,0.0,16.818181818181817,0.1864406779661017,0.0,0.0,5.0,43728.5,0.8139641057598025,0.0,1.6859807759420733,35593.429398717526,11911.14374163607,33633.581920903955,11278.101694915254,633.042046720815,True,moyenne,ok,tous les critères individuels satisfaits,WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000001,Bebe & Enfant,46030.0,29095.0,marge,0.05,16.818181818181817,0.1864406779661017,0.0,0.0,5.0,43728.5,0.8139641057598025,0.0,1.6859807759420733,35593.429398717526,11911.14374163607,33633.581920903955,11278.101694915254,633.042046720815,True,moyenne,ok,tous les critères individuels satisfaits,WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
PRD000001,Bebe & Enfant,46030.0,29095.0,marge,0.1,16.818181818181817,0.1864406779661017,0.0,0.0,5.0,43728.5,0.8139641057598025,0.0,1.6859807759420733,35593.429398717526,11911.14374163607,33633.581920903955,11278.101694915254,633.042046720815,True,moyenne,ok,tous les critères individuels satisfaits,WAPE quantité hors période élevée (107.1%) — estimation individuelle incertaine; simulation non appliquée dans la réalité : off_policy_evaluation_validated=false,challenger_ml_lightgbm,False,False,True,False
