unique_id,ds,categorie,marque,quantite_vendue,chiffre_affaires_net_xof,prix_catalogue_xof,prix_unitaire_paye_xof,remise_planifiee_pct,en_promotion,n_promotions_concurrentes,remise_appliquee_pct,cout_unitaire_xof,marge_unitaire_xof,marge_totale_xof,taux_marge,stock_disponible_lag1,indicateur_rupture_lag1,indicateur_stock_faible_lag1,jour_semaine,weekend,mois,annee_mois,log1p_y,prix_simule_plan,marge_simulee_plan,due_au_bruit_seul
PRD000006,2025-05-04,Bebe & Enfant,Nimba,11.0,221243.0,28970.0,20113.0,30.0,1,1,30.573006558508798,20904.0,-791.0,-8701.0,-0.03932779794162979,102.0,0,0,6,True,5,2025-05,2.4849066497880004,20279.0,-625.0,False
PRD000006,2025-05-05,Bebe & Enfant,Nimba,1.0,20188.0,28970.0,20188.0,30.0,1,1,30.314118053158435,20904.0,-716.0,-716.0,-0.035466613829998016,91.0,0,0,0,False,5,2025-05,0.6931471805599453,20279.0,-625.0,False
PRD000006,2025-05-07,Bebe & Enfant,Nimba,1.0,20353.0,28970.0,20353.0,30.0,1,1,29.744563341387643,20904.0,-551.0,-551.0,-0.027072176091976614,90.0,0,0,2,False,5,2025-05,0.6931471805599453,20279.0,-625.0,False
PRD000006,2025-05-08,Bebe & Enfant,Nimba,2.0,39983.0,28970.0,19991.5,30.0,1,1,30.992405937176393,20904.0,-912.5,-1825.0,-0.04564439886951954,89.0,0,0,3,False,5,2025-05,1.0986122886681098,20279.0,-625.0,False
PRD000006,2026-02-13,Bebe & Enfant,Nimba,6.0,122826.0,28970.0,20471.0,30.0,1,1,29.33724542630307,20904.0,-433.0,-2598.0,-0.021151873381857263,25.0,0,1,4,False,2,2026-02,1.9459101490553132,20279.0,-625.0,False
PRD000006,2026-02-16,Bebe & Enfant,Nimba,1.0,19895.0,28970.0,19895.0,30.0,1,1,31.32550914739386,20904.0,-1009.0,-1009.0,-0.05071626036692636,235.0,0,0,0,False,2,2026-02,0.6931471805599453,20279.0,-625.0,False
PRD000006,2026-02-21,Bebe & Enfant,Nimba,1.0,20328.0,28970.0,20328.0,30.0,1,1,29.830859509837758,20904.0,-576.0,-576.0,-0.02833530106257379,234.0,0,0,5,True,2,2026-02,0.6931471805599453,20279.0,-625.0,False
PRD000007,2026-04-27,Telephonie & Accessoires,Prime,1.0,173787.0,235430.0,173787.0,25.0,1,1,26.183154228433082,175556.0,-1769.0,-1769.0,-0.010179127322527001,94.0,0,0,0,False,4,2026-04,0.6931471805599453,176572.5,1016.5,True
PRD000008,2025-09-27,Sport & Loisirs,Urban,2.0,100260.0,73010.0,50130.0,30.0,1,1,31.33817285303383,50514.0,-384.0,-768.0,-0.007660083782166367,96.0,0,0,5,True,9,2025-09,1.0986122886681098,51107.0,593.0,True
PRD000008,2025-09-28,Sport & Loisirs,Urban,1.0,50344.0,73010.0,50344.0,30.0,1,1,31.04506232023011,50514.0,-170.0,-170.0,-0.003376767837279517,94.0,0,0,6,True,9,2025-09,0.6931471805599453,51107.0,593.0,True
PRD000009,2026-03-23,Telephonie & Accessoires,Nova,3.0,175458.0,72370.0,58486.0,20.0,1,1,19.184745060107776,59253.0,-767.0,-2301.0,-0.013114249563998221,124.0,0,0,0,False,3,2026-03,1.3862943611198906,57896.0,-1357.0,False
PRD000009,2026-03-26,Telephonie & Accessoires,Nova,5.0,292103.0,72370.0,58420.6,20.0,1,1,19.275113997512783,59253.0,-832.4000000000015,-4162.0,-0.014248398681287106,121.0,0,0,3,False,3,2026-03,1.791759469228055,57896.0,-1357.0,False
PRD000009,2026-03-27,Telephonie & Accessoires,Nova,1.0,58324.0,72370.0,58324.0,20.0,1,1,19.408594721569717,59253.0,-929.0,-929.0,-0.015928262807763528,116.0,0,0,4,False,3,2026-03,0.6931471805599453,57896.0,-1357.0,False
PRD000009,2026-03-30,Telephonie & Accessoires,Nova,1.0,57070.0,72370.0,57070.0,20.0,1,1,21.14135691584911,59253.0,-2183.0,-2183.0,-0.038251270369721396,115.0,0,0,0,False,3,2026-03,0.6931471805599453,57896.0,-1357.0,False
PRD000009,2026-03-31,Telephonie & Accessoires,Nova,2.0,115588.0,72370.0,57794.0,20.0,1,1,20.140942379438997,59253.0,-1459.0,-2918.0,-0.025244835103990032,114.0,0,0,1,False,3,2026-03,1.0986122886681098,57896.0,-1357.0,False
PRD000009,2026-04-01,Telephonie & Accessoires,Nova,1.0,58740.0,72370.0,58740.0,20.0,1,1,18.83377089954401,59253.0,-513.0,-513.0,-0.008733401430030643,112.0,0,0,2,False,4,2026-04,0.6931471805599453,57896.0,-1357.0,False
PRD000009,2026-04-02,Telephonie & Accessoires,Nova,5.0,292175.0,72370.0,58435.0,20.0,1,1,19.255216249827278,59253.0,-818.0,-4090.0,-0.013998459827158381,111.0,0,0,3,False,4,2026-04,1.791759469228055,57896.0,-1357.0,False
PRD000009,2026-04-03,Telephonie & Accessoires,Nova,4.0,230774.0,72370.0,57693.5,20.0,1,1,20.27981207682742,59253.0,-1559.5,-6238.0,-0.027030774697322922,106.0,0,0,4,False,4,2026-04,1.6094379124341003,57896.0,-1357.0,False
PRD000009,2026-04-04,Telephonie & Accessoires,Nova,6.0,348308.0,72370.0,58051.333333333336,20.0,1,1,19.785362258762838,59253.0,-1201.6666666666642,-7210.0,-0.020700070052941607,102.0,0,0,5,True,4,2026-04,1.9459101490553132,57896.0,-1357.0,False
PRD000009,2026-04-20,Telephonie & Accessoires,Nova,1.0,54526.0,72370.0,54526.0,25.0,1,1,24.65662567362167,59253.0,-4727.0,-4727.0,-0.08669258702270477,64.0,0,0,0,False,4,2026-04,0.6931471805599453,54277.5,-4975.5,False
PRD000009,2026-04-21,Telephonie & Accessoires,Nova,7.0,378193.0,72370.0,54027.57142857143,25.0,1,1,25.345348309283644,59253.0,-5225.4285714285725,-36578.0,-0.09671781339157522,63.0,0,0,1,False,4,2026-04,2.0794415416798357,54277.5,-4975.5,False
PRD000009,2026-04-22,Telephonie & Accessoires,Nova,1.0,53558.0,72370.0,53558.0,25.0,1,1,25.994196490258393,59253.0,-5695.0,-5695.0,-0.1063333208857687,56.0,0,0,2,False,4,2026-04,0.6931471805599453,54277.5,-4975.5,False
PRD000009,2026-04-24,Telephonie & Accessoires,Nova,9.0,486697.0,72370.0,54077.444444444445,25.0,1,1,25.276434372744994,59253.0,-5175.555555555555,-46580.0,-0.09570636350747999,55.0,0,0,4,False,4,2026-04,2.302585092994046,54277.5,-4975.5,False
PRD000009,2026-04-25,Telephonie & Accessoires,Nova,2.0,107626.0,72370.0,53813.0,25.0,1,1,25.64184054166091,59253.0,-5440.0,-10880.0,-0.1010908144872057,46.0,0,1,5,True,4,2026-04,1.0986122886681098,54277.5,-4975.5,False
PRD000009,2026-04-26,Telephonie & Accessoires,Nova,4.0,212788.0,72370.0,53197.0,25.0,1,1,26.49302197042973,59253.0,-6056.0,-24224.0,-0.11384100607177096,44.0,0,1,6,True,4,2026-04,1.6094379124341003,54277.5,-4975.5,False
PRD000009,2026-04-27,Telephonie & Accessoires,Nova,3.0,162817.0,72370.0,54272.333333333336,25.0,1,1,25.00713923817419,59253.0,-4980.666666666664,-14942.0,-0.09177174373683333,40.0,0,1,0,False,4,2026-04,1.3862943611198906,54277.5,-4975.5,False
PRD000009,2026-04-28,Telephonie & Accessoires,Nova,2.0,108854.0,72370.0,54427.0,25.0,1,1,24.79342268895951,59253.0,-4826.0,-9652.0,-0.08866922667058628,37.0,0,1,1,False,4,2026-04,1.0986122886681098,54277.5,-4975.5,False
PRD000009,2026-04-29,Telephonie & Accessoires,Nova,5.0,274268.0,72370.0,54853.6,25.0,1,1,24.203951913776432,59253.0,-4399.4000000000015,-21997.0,-0.08020257558300643,35.0,0,1,2,False,4,2026-04,1.791759469228055,54277.5,-4975.5,False
PRD000011,2025-06-10,Alimentation & Epicerie,Nova,1.0,6119.0,7330.0,6119.0,15.0,1,1,16.521145975443385,6183.0,-64.0,-64.0,-0.010459225363621507,323.0,0,0,1,False,6,2025-06,0.6931471805599453,6230.5,47.5,True
PRD000011,2025-09-26,Alimentation & Epicerie,Nova,1.0,5575.0,7330.0,5575.0,25.0,1,1,23.94270122783083,6183.0,-608.0,-608.0,-0.10905829596412556,123.0,0,0,4,False,9,2025-09,0.6931471805599453,5497.5,-685.5,False
